regions,iso3,name,year,boreal,temperate,tropical,subtropical,1a_forestArea,1a_otherWoodedLand,1a_landArea,1b_naturallyRegeneratingForest,1b_plantedForest,1b_plantationForest,1b_plantationForestIntroduced,1b_otherPlantedForest,1c_primary,1c_tempUnstocked,1c_bamboos,1c_mangroves,1c_rubber,1f_palms,1f_treeOrchards,1f_agroforestry,1f_treesUrbanSettings,1f_other,2a_gs_ha_nat_reg,2a_gs_ha_planted,2a_gs_ha_plantation,2a_gs_ha_other_planted,2a_gs_ha_forest,2a_gs_ha_owl,2a_gs_tot_nat_reg,2a_gs_tot_planted,2a_gs_tot_plantation,2a_gs_tot_other_planted,2a_gs_tot_forest,2a_gs_tot_owl,2b_native_#1,2b_native_#2,2b_native_#3,2b_native_#4,2b_native_#5,2b_native_#6,2b_native_#7,2b_native_#8,2b_native_#9,2b_native_#10,2b_native_remaining,2b_native_total,2b_introduced_#1,2b_introduced_#2,2b_introduced_#3,2b_introduced_#4,2b_introduced_#5,2b_introduced_remaining,2b_introduced_total,2b_total_gs,2c_agb,2c_bgb,2c_dwb,2d_carbon_agb,2d_carbon_bgb,2d_carbon_dw,2d_carbon_litter,2d_carbon_soil,2d_soil_depth_cm,3a_prim_prod,3a_prim_prot,3a_prim_biodiv,3a_prim_socserv,3a_prim_multi,3a_prim_other,3a_prim_no_unknown,3a_tot_prod,3a_tot_prot,3a_tot_biodiv,3a_tot_socserv,3a_tot_other,3b_protected,3b_forMngt,3b_mngtProt,4a_priv_own,4a_individ,4a_bus_inst_fo,4a_indigenous_fo,4a_pub_own,4a_fo_unknown,4b_pub_admin,4b_individuals,4b_bus_inst_mr,4b_indigenous_mr,4b_unknown,5c_y_n,6a_policies_national,6a_policies_sub_national,6a_legislation_national,6a_legislation_sub_national,6a_platform_national,6a_platform_sub_national,6a_traceability_national,6a_traceability_sub_national,6b_pfe_y_n,6b_pfe_area,7a_employment_tot,7a_employment_fem,7a_employment_male,7a_emp_forestry_tot,7a_emp_forestry_fem,7a_emp_forestry_male,7a_emp_logging_tot,7a_emp_logging_fem,7a_emp_logging_male,7a_emp_nwfp_tot,7a_emp_nwfp_fem,7a_emp_nwfp_male,7a_emp_support_tot,7a_emp_support_fem,7a_emp_support_male,7b_phd_tot,7b_phd_fem,7b_phd_male,7b_msc_tot,7b_msc_fem,7b_msc_male,7b_ba_tot,7b_ba_fem,7b_ba_male,7b_tech_tot,7b_tech_fem,7b_tech_male,7b_total_tot,7b_total_fem,7b_total_male
Asia,ARE,United Arab Emirates,1990,0,0,100,0,245,4.1,7102,,,,,,0,,0,3.8,0,,,,,,,,,,48.89795918,,,,,,11.98,,,,,,,,,,,,,,,,,,,,,,74.33,31.96,14.9,34.94,15.02,6.98,2.08,,,0,0,0,0,245,0,0,,,,,,,,,0,0,0,0,245,0,245,0,0,0,0,no,,,,,,,,,yes,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,ARE,United Arab Emirates,2000,0,0,100,0,309.43,4.1,7102,,,,,,0,,0,4,0,,,,,,,,,,49.02562777,,,,,,15.17,,,,,,,,,,,,,,,,,,,,,,74.35,31.97,14.9,34.94,15.03,7,2.1,,,0,0,0,0,309.43,0,0,,,,,,,,,0,0,0,0,309.43,0,309.43,0,0,0,0,no,,,,,,,,,yes,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,ARE,United Arab Emirates,2010,0,0,100,0,317.3,4.35,7102,,,,,,0,,0,4.3,0,,,,,,,,,,48.91270091,,,,,,15.52,,,,,,,,,,,,,,,,,,,,,,74.31,31.96,14.88,34.92,15.03,7,2.11,,,0,0,0,0,317.3,0,0,,,,,,,,,0,0,0,0,317.3,0,371.3,0,0,0,-54,no,,,,,,,,,yes,317.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,ARE,United Arab Emirates,2015,0,0,100,0,317.3,4.6,7102,,,,,,0,,0,4.3,0,,,,,,,,,,49.79514655,,,,,,15.8,,,,,,,,,,,,,,,,,,,,,,74.43,31.43,14.63,34.97,15.07,7.01,2.11,,,0,0,0,0,317.3,0,0,,,,,,,,,0,0,0,0,317.3,0,317.3,0,0,0,0,no,,,,,,,,,yes,317.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,ARE,United Arab Emirates,2020,0,0,100,0,317.3,4.85,7102,,,,,,0,,0,4.3,0,,,,,,,,,,49.79514655,,,,,,15.8,,,,,,,,,,,,,,,,,,,,,,74.43,31.43,14.63,34.97,15.07,7.01,2.11,,,0,0,0,0,317.3,0,0,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,yes,317.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Europe, UNECE, International Tropical Timber Organization, FOREST EUROPE",ALB,Albania,1990,0,40,0,60,788.8,256,2740,,,,,,84.8,,0,0,0,,,,,,,,,,95.39807302,,,,,,75.25,,37.77,15.07,10.37,3.93,,,,3.54,4.57,,,75.25,,,,,,,,75.25,,,,,,,,,,685,86.9,16.9,,,,0,,,,,,103.7,,,0,0,0,0,788.8,0,,,,,788.8,,yes,yes,yes,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Europe, UNECE, International Tropical Timber Organization, FOREST EUROPE",ALB,Albania,2000,0,40,0,60,769.3,255,2740,,,,,,84.8,,0,0,0,,,,,,,,,,98.55712986,,,,,,75.82,,37.93,14.35,11.37,3.96,,,,3.81,4.41,,,75.83,,,,,,,,75.83,,,,,,,,,,620,96.8,52.4,,,,0.1,,,,,,149.2,,,6.8,0,0,0,762.5,0,,,,,762.5,,yes,yes,yes,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Europe, UNECE, International Tropical Timber Organization, FOREST EUROPE",ALB,Albania,2010,0,40,0,60,782.07,260.69,2740,711.6837,70.39,70.3863,,0,84.8,,0,0,0,,,,,29.12,,,,,97.81733093,,,,,,76.5,,37.88,14.4,10.96,3.95,,,,3.57,4.24,,1.5,76.5,,,,,,,,76.5,,,,,,,,,,614.2,131.1,31,,,,,,,,,,162.1,776.3,,20.57,0,0,0,761.5,,,,,,761.5,,yes,yes,yes,yes,,,,,yes,776.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Europe, UNECE, International Tropical Timber Organization, FOREST EUROPE",ALB,Albania,2015,0,40,0,60,789.1875,263.0625,2740,,,,,,84.8,,0,0,0,,,,,25.32,,,,,70.00871149,,,,,,55.25,,24.5,11,6.54,2.32,2.09,1.98,0.07,2.81,2.87,1.07,0,55.25,,,,,,,,55.25,,,,,,,,,,629,130,31,,,,,,,,,,,,,21.62,0,0,0,767.57,,,,,,767.57,,yes,yes,yes,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Europe, UNECE, International Tropical Timber Organization, FOREST EUROPE",ALB,Albania,2020,0,40,0,60,788.9,262.97,2740,,,,,,84.8,,0,0,0,,,,,,,,,,69.62859678,,,,,,54.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,130,31,,,,-0.1,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
