Item_Fao,Item_Code_FAO,Item_GFPM,Item_Code_GFPM
Wood fuel,1864,Fuelwood,80
Industrial roundwood,1865,Industrial Roundwood,81
Other industrial roundwood,1871,Other Industrial Roundwood,82
Sawnwood,1872,Sawnwood,83
Plywood,1640,Veneer Sheets and Plywood,84
Particle board,1697,Particle Board,85
Fibreboard,1874,Fiberboard,86
Mechanical wood pulp,1654,Mechanical Pulp,87
Semi-chemical wood pulp,1656,Chemical Pulp,88
Pulp from fibres other than wood,1668,Other Fiber Pulp,89
Recovered paper,1669,Waste Paper,90
Newsprint,1671,Newsprint,91
Printing and writing papers,1674,Printing and Writing Paper,92
Other paper and paperboard,1675,Other Paper and Board,93
